Ashoknagar,Shanthala Nagar
Austin Town,Vannarpet
Avenue Road,Dharmarayaswamy Temple
Balepet,Chikpete
Balepete,Chikpete
Benson Town,S.K.Garden
Bestamaranahalli,Marenahalli
Bharati Nagar,Bharathi Nagar
Brigade Road,Shanthala Nagar
Brunton Road,Agaram
Central Street,Shivaji Nagar
Chakravarthy Lane,Chalavadipalya
Chickpet,K.R.Market
Chikpet,K.R.Market
Chord Road,Jayachamarajendra Nagar
Church Street,Shanthala Nagar
Commercial Street,Shivaji Nagar
Cooke Town,Sagayapuram
Cox town,Pulikeshi Nagar
Coxtown,Pulikeshi Nagar
Crescent Road,Vasanth Nagar
Cubban Road,Shivaji Nagar
Cubbon Road,Shivaji Nagar
Cubbonpet,Dharmarayaswamy Temple
Cunningham,Vasanth Nagar
Cunningham Road,Vasanth Nagar
Dickenson Road,Shivaji Nagar
Dr. ambedkar veedhi,Shivaji Nagar
Ebrahim Sahib Street,Shivaji Nagar
Edward Road,Shivaji Nagar
Gayathrinagar,Subramanya Nagar
Gayatri Nagar,Subramanya Nagar
Haines Road,Pulikeshi Nagar
Harogadde,Gottigere
Hennagara,Singasandra
High Grounds,Vasanth Nagar
Hulimangala,Singasandra
Indalavadi,Gottigere
Infantry Road,Shivaji Nagar
Iyengar Road,Chikpete
J.C. Road,Dharmarayaswamy Temple
Jayachamaraja Road,Dharmarayaswamy Temple
Jumma Masjid Road,Dharmarayaswamy Temple
K. Kamraj Road,Shanthala Nagar
K.P.west,Sampangiram Nagar
Kamaraj Road,Pulikeshi Nagar
Kasturba Road,Chalavadipalya
Kilari Road,Chikpete
Kumara Krupa Road,Vasanth Nagar
KUMARAPARK,Sampangiram Nagar
Lady Curzon Road,Shivaji Nagar
Lalbagh West,Visvesvarapuram
Langford Town,Shanthi Nagar
Lavelle Road,Chalavadipalya
Madhava Nagar,Rajamahal
Magadi Main Road,Herohalli
Magadi Road,Herohalli
Magrath Road,Agaram
Mahatma Gandhi road,Shanthala Nagar
Mamulpet,Chikpete
Manjunatha Nagar,Okalipuram
Marsur,Singasandra
Mavalli,Sudam Nagar
MG Railway Colony,Okalipuram
Millers Road,Vasanth Nagar
Minerva Circle,Shakambari Nagar
Mission Road,Sudam Nagar
Museum Road,Shanthala Nagar
Nagarathpet,Dharmarayaswamy Temple
Narayan Pillai street,Shivaji Nagar
Narayana Pillai Street,Shivaji Nagar
Nrupathunga Road,Dharmarayaswamy Temple
Okalipuram,Okalipuram
P&t Col. kavalbyrasandra,Kavalbyrasandra
Palace Road,Vasanth Nagar
Pasmpamahakavi Road,Shankaramata
Prakash Nagar,Pattabhiram Nagar
Promenade Road,Pulikeshi Nagar
Queens Road,Shivaji Nagar
Raj Bhavan Road,Vasanth Nagar
Raja Ram Mohan Roy Road,Dharmarayaswamy Temple
Rajbhavan,Vasanth Nagar
Ramachandrapuram,Dayananda Nagar
Residency Road,Shanthala Nagar
Rest House Road,Shanthala Nagar
Richmond Road,Shanthala Nagar
Richmond Town,Shanthi Nagar
S. R. Nagar,Thanisandra
Samandur,Singasandra
Sampangiram Nagar,Sampangiram Nagar
Sampangiramnagar,Sampangiram Nagar
Seppings Road,Shivaji Nagar
Seshadri Road,Rajamahal
Shankarapuram,Shankaramata
Shankarpura,Shankaramata
Shanthinagar,Shanthi Nagar
Shivaji Nagar,Shivaji Nagar
Shivajinagar,Shivaji Nagar
Sidihoskote,Gottigere
Sivan Chetty gardens,Shivaji Nagar
Srirampuram,Dayananda Nagar
St. Johns Road,Pulikeshi Nagar
St. Marks Road,Shanthala Nagar
Subbarama Chetty Road,Ganeshmandira
Subedar Chatram Rd,Rajamahal
Subedar Chatram Road,Rajamahal
Thammanayakanahalli,Mallasandra
Thimmaiah Road,Shivaji Nagar
Ulsoor,Ulsoor
Vanakanahalli,Singasandra
Vasanth Nagar,Vasanth Nagar
Vasanthnagar,Vasanth Nagar
Victoria Layout,Agaram
Visveswarapuram,Visvesvarapuram
Vittal Mallya Road,Hosathippasandra
Vittalnagar,Uttarahalli
Agrahara,Singasandra
Airport Road,Chowdeshwari
Akshaya Nagar,Begur
Ali Asker Road,Vasanth Nagar
Amruthahalli,Jakkur
Baiyappanahalli,Benniganahalli
Ballandur,Bellandur
Bangalore Air port,Chowdeshwari
Basavanagar,Vignana Nagar
Bellandur,Bellandur
Brookefield,Garudacharpalya
Brookfield Road,Garudacharpalya
Brookfields,Garudacharpalya
C. V. Raman Nagar,C.V.Raman Nagar
C.V. Raman Nagar,C.V.Raman Nagar
C.V.raman nagar,C.V.Raman Nagar
Devanagundi,Kadugudi
Devasandra,Devasandra
Doddanakundi,Doddanekkundi
Doddanekkundi,Doddanekkundi
Domlur,Dommalur
Domlur Layout,Dommalur
Dooravani Nagar,Ramamurthy Nagar
Doorvaninagar,Ramamurthy Nagar
Fraser Town,Pulikeshi Nagar
Frazer Town,Pulikeshi Nagar
Frazertown,Pulikeshi Nagar
Gangadhar Chetty Road,Shivaji Nagar
GR Tech Park,Kadugudi
Gunjur,Varthur
H.A.l ii stage,Dommalur
HAL Airport,HAL Airport
HAL Airport Road,Chowdeshwari
HAL Road,Chowdeshwari
Haralur Road,HSR Layout
Harlur Road,HSR Layout
Hoodi,Hoodi
HRBR Layout,Banasawadi
Immedihalli,Hagadooru
Indira Nagar,Dommalur
Indiranagar,Dommalur
Indiranagar Com. complex,Ulsoor
ITPL Road,Garudacharpalya
J C Nagar,Jayamahal
J. C. Nagar,Jayamahal
J.C. Nagar,Jayamahal
J.C.nagar,Jayamahal
Jayamahal Road,Jayamahal
Jeevan Bheema Nagar,Konena Agrahara
Jeevan Bhima Nagar,Konena Agrahara
Jeevanbhima Nagar,Konena Agrahara
Jeevanbhimanagar,Konena Agrahara
Kadugodi,Kadugudi
Kaggadasapura,Vignana Nagar
Kaggalipura,Anjanapur
Kaggdaspura,Vignana Nagar
Kalkunte,Kadugudi
Kannamangala,Bharathi Nagar
Kasavanahalli,Bellandur
Kasavanhalli,Bellandur
Kodihalli,Dommalur
Koramangala,Koramangala
Koramangala I block,Koramangala
Koramangala Vi bk,Sri Rammandira
KR Puram,K.R.Puram
Krishnaraja Puram,K.R.Puram
Krishnarajapuram,K.R.Puram
Krishnarajapuram R s,K.R.Puram
Kundalahalli,Siddapura
M.H. Colony,Chowdeshwari
Mahadevapura,Garudacharpalya
Mahadevapura Post,Garudacharpalya
Mahadevpura Post,Garudacharpalya
Malleshpalya,Vignana Nagar
Marathahalli,Marathalli
Marathahalli Colony,Marathalli
Medimallasandra,Kadugudi
Murugeshpalya,Jeevanbhima Nagar
Muthusandra,Varthur
Naduvathi,Kadugudi
Nal,HAL Airport
Old Airport Road,HAL Airport
Old Madras Road,Benniganahalli
Panathur,Chowdeshwari
Ramagondanahalli,Siddapura
Ramamurthy Nagar,Ramamurthy Nagar
Rameshnagar,HAL Airport
S M Road,H.M.T
S. V. Road,Benniganahalli
Samethanahalli,Kadugudi
St. john's medical college,Koramangala
Thippasandra,Jeevanbhima Nagar
Training Command iaf,Ganga Nagar
Udaypura Post,Vasanthapura
Varthur,Varthur
Vartur,Varthur
Vibhutipura,Konena Agrahara
Vimanapura,Konena Agrahara
Vimapura,Konena Agrahara
Whitefield,Hagadooru
Whitefield,Hagadooru
Whitefield Sarjapur,Varthur
Whitefield-Sarjapur,Varthur
Yemalur,Bellandur
Allalasandra,Yelahanka Satellite
Anandnagar,Hebbal
Arabic College,Kadugondanahalli
Aranya Bhavan,Kadumalleshwara
Attur,Attur
Bagalgunte,Mallasandra
Bagalkunte,Bagalagunte
Bagalur Road,Hosathippasandra
Banaswadi,Banasawadi
Bel Road,Mathikere
Bellary Road,Hebbal
Bennigana Halli,Benniganahalli
Bhuvaneshwari Nagar,T-Dasarahalli
Bsf Campus yelahanka,Yelahanka Satellite
Byappanahalli,Benniganahalli
Byatarayanapura,Byatarayanapura
Byatarayanapura,Byatarayanapura
Cholanayakkanahilli,Vishwanathnagenahalli
Coles Road,Pulikeshi Nagar
Crpf Campus yelahanka,Attur
Damodaran Road,Byatarayanapura
Dasarahalli,Bharathi Nagar
Dasarahalli,Bharathi Nagar
Devanahalli,Hosahalli
Devarjeevanahalli,Chalavadipalya
Dodda Bomasandra,Doddabommasandra
Dollars Colony,Sanjay Nagar
Embassy Manyatha Tech Park,Thanisandra
G.K.V.K,Kodigehalli
G.K.V.K Post,Kodigehalli
G.K.v.k.,Kodigehalli
Ganga Nagar,Ganga Nagar
Ganga Nagar Extension,Aramane Nagar
Gangenahalli,Gangenahalli
Geddalahalli,HBR Layout
GKVK Post,Kodigehalli
Gokula Extension,J.P.Park
Goraguntepalya,Yeshwanthpur
Govindapalya,Singasandra
Guddadahalli,Gali Anjaneya Swamy Temple
Guttahalli,Sampangiram Nagar
H M t,Dodda Bidarkallu
H.A. farm,Ganga Nagar
H.M.T,H.M.T
HBR Layout,HBR Layout
Hebbal,Hebbal
Hebbal Agrl Farm,Ganga Nagar
Hebbal Kempapura,Byatarayanapura
Hebbal-Kempapura,Byatarayanapura
Hennur,HBR Layout
Hesaraghatta,Attur
Hesaraghatta Lake,Attur
Hesarghatta Main Rd,Mallasandra
Hessaraghatta,Attur
HMT Layout,J.P.Park
HMT Road,Vidyaranyapura
Horamavu,Horamavu
Hutchins Road,Sagayapuram
Industrial Estate,Peenya Industrial Area
Industrial state,Peenya Industrial Area
Jakkur,Jakkur
Jala Hobli,Shanthala Nagar
Jalahalli,Jalahalli
Jalahalli East,Vidyaranyapura
Jalahalli Village,Jalahalli
Jalahalli West,Shettyhalli
Jalavayuvihar,Kammanahalli
Jaymahal,Jayamahal
Jeevanahalli,Maruthiseva Nagar
Kacharakanahalli,Kammanahalli
Kadugondanahalli,Kushal Nagar
Kalasipalyam,Dharmarayaswamy Temple
Kalyan Nagar,HBR Layout
Kalyanagar,HBR Layout
Kamagondanahalli,H.M.T
Kammagondahalli,H.M.T
Kanteeravanagar,Nandini Layout
Kasturi Nagar,Banasawadi
Kasturinagar,Banasawadi
Kaval Bairasandra,Kavalbyrasandra
Kavalbyrasandra,Kavalbyrasandra
Kempaura,Byatarayanapura
Kendriya Vihar,Yelahanka Satellite
Kodigehalli,Kodigehalli
Kothanur,HBR Layout
KUMARA PARK,Sampangiram Nagar
KUMARAPARK SHESHADRIPURAM,Sampangiram Nagar
Lingarajapuram,Ramaswamy Palya
M S r road,Mathikere
Malkand Lines,Chalavadipalya
Malleshwaram,Malleshwaram
Malleswaram,Malleshwaram
Malleswaram West,Malleshwaram
Mandalay Lines,Chalavadipalya
Maruthi Nagar,Sudduguntepalya
Maruthi Sevanagar,Maruthiseva Nagar
Mathikere,Mathikere
Mathikere Extension,Mathikere
MS Ramaiah Road,Mathikere
Msrit,Mathikere
Nagarvar Kari,Chalavadipalya
Nagasandra,Dodda Bidarkallu
Nagashetty Halli,Sanjay Nagar
Nagavara,Nagavara
Nagavara Road,Kadugondanahalli
Nalagadderanahalli,Chokkasandra
Nandhini Layout,Lakshmidevi Nagar
Nandidurg Road,Jayamahal
Nandidurga Road,Jayamahal
Nandini Layout,Lakshmidevi Nagar
Nandinilayout,Lakshmidevi Nagar
Nelamangala,Jakkasandra
OMBR Layout,Banasawadi
Palace Guttahalli,Sampangiram Nagar
Peenya,Peenya Industrial Area
Peenya I stage,Dodda Bidarkallu
Peenya Ii stage,Dodda Bidarkallu
Peenya S.I.,Peenya Industrial Area
Peenya Small industries,Rajagopala Nagar
Pulikeshi Nagar,Pulikeshi Nagar
R T nagar,Ganga Nagar
R. K. Puram,Dr.Rajkumar
R.M.V. Extension,Sanjay Nagar
R.M.v. extension ii stage,Sanjay Nagar
R.T. Nagar,Ganga Nagar
Rajanakunte,Yelahanka Satellite
Rajankunte,Yelahanka Satellite
Ramakrishna Hegde nagar,Jakkur
RMV 2nd stage,Sanjay Nagar
RT Nagar,Ganga Nagar
Sadashiv Nagar,Aramane Nagar
Sadashiva Nagar,Aramane Nagar
Sadashivanagar,Aramane Nagar
Sadashivnagar,Aramane Nagar
Sahakara Nagar,Byatarayanapura
Sahakaranagar P.o,Byatarayanapura
Sahakarnagar,Byatarayanapura
Sanjay Nagar,Radhakrishna Temple
Sanjaynagar,Radhakrishna Temple
Sankey Road,Aramane Nagar
Saraswathipuram,Nandini Layout
Science Institute,Mathikere
Seshadripuram,Sampangiram Nagar
Sharada Nagar,Vasanthapura
Singanayakanahalli,Attur
St. thomas town,Kacharakanahalli
Subbaiah Palaya,Chalavadipalya
Sultanpalya,Manorayanapalya
Swimming Pool extn,Kadumalleshwara
Tank Bund Road,Kempegowda
Tata Nagar,Doddabommasandra
Telecom Layouts,Jakkur
Vaiyyalikaval,Kadumalleshwara
Vasant Nagar,Vasanth Nagar
Venkatagiri Kote,Hosahalli
Venkatarangapura,Chalavadipalya
Venkateshapura,Kadugondanahalli
Vyalikaval Extn,Kadumalleshwara
Wheel And axle plant,Yelahanka Satellite
Yelahanka,Yelahanka Satellite
Yelahanka Road,Vidyaranyapura
Yelahanka Satellite town,Attur
Yeshwanthpur,Yeshwanthpur
Yeshwanthpur Bazar,J.P.Park
Yeswanthpur,Yeshwanthpur
Yeswanthpura,Yeshwanthpur
Agara,HSR Layout
Anekal,Singasandra
Anekal Taluk,Singasandra
Anekalbazar,Singasandra
Arakere,Arakere
Attibele,Singasandra
B Sk ii stage,Karisandra
Banashankari,Chikkalasandra
Banashankari Iii stage,Giri Nagar
Bannerghatta,Gottigere
Bannerghatta Rd,Gottigere
Bannerghatta Road,Gottigere
Basavanagudi,Basavangudi
Basavangudi,Basavangudi
Begur Koppa Road,Gottigere
Begur-Koppa Road,Gottigere
Bidaraguppe,Varthur
Bilekahalli,Bilekahalli
Bommanahalli,Bommanahalli
BTM Layout,Kuvempu Nagar
BTS Layout,Arakere
Bull Temple Road,Shankaramata
Chamrajpet Bazar,Chamrajpet
Chandrapura,Singasandra
Chikkalasandra,Chikkalasandra
Davanagere,Jayangar
Davangere,Herohalli
Diagonal Road,Visvesvarapuram
Doddakallasandra,Konanakunte
Doddamavalli,Visvesvarapuram
Doddathogur,Begur
Doddathogur village,Begur
Dommasandra,Varthur
Ejipura,Ejipura
Electronics city,Singasandra
Electronics City,Singasandra
Gandhi Bazar,Basavangudi
Gavipuram,Hanumantha Nagar
Girinagar,Giri Nagar
Govindaraj Nagar,Govindraja Nagara
Halasuru,Ulsoor
Handenahalli,Singasandra
Hanumanthanagar,Sunkenahalli
Harapanahalli,Gottigere
Hebbagodi,Singasandra
Hongasandra,Hongasandra
Hosakerehalli,Hosakerehalli
Hosur Road,Singasandra
Hosur Road,Singasandra
Hsr Layout,HSR Layout
Hulimavu,Bilekahalli
ISRO Layout,Kumaraswamy Layout
Ittamadu Layout,Chikkalasandra
J P nagar,Marenahalli
J. P. Nagar,Marenahalli
J.P. Nagar,Marenahalli
Jakkasandra Post,Koramangala
Jaya Nagar,Jayangar
Jayanagar,Jayangar
Jayanagar West,Jayangar
Jayangar East,Jayanagar East
Jayangar Iii block,Jayanagar East
Jigani,Begur
Journalist Colony,Visvesvarapuram
JP Nagar,Marenahalli
Jp Nagar iii phase,Marenahalli
K.R. Road,Basavangudi
Kamanhalli,Kacharakanahalli
Kammanahalli,Kacharakanahalli
Kanakapura Road,Vasanthapura
Kathriguppe,Katriguppe
Kempapura,Byatarayanapura
Kendriya Sadan,Madiwala
Konanakunte,Konanakunte
Kumaraswamy Layout,Kumaraswamy Layout
Kumbalgodu,Maruthi Mandira
Kumbaragundi,Dharmarayaswamy Temple
Lakkasandra,Lakkasandra
Lakshman Mudaliar Street,Shivaji Nagar
Lakshmipura,Vidyaranyapura
Madhavan Park,Jayanagar East
Madivala,Sudduguntepalya
Mayasandra,Singasandra
Mico Layout,BTM Layout
Mount St joseph,Gottigere
Mudaliar Road,Pulikeshi Nagar
Muthanallur,Singasandra
Nayandahalli,Nayandanahalli
Neelasandra,Vannarpet
Neralur,Singasandra
O.T.C. Road,K.R.Market
Off Sarjapur Road,Bellandur
Padmanabhanagar,Padmanabha Nagar
Padmanabhnagar,Padmanabha Nagar
R.V. Road,Jayanagar East
Raghavendra Nagar,Hoysala Nagar
Raja Rajeshwari Nagar,Rajarajeshwari Nagar
Rajpet,Vasanth Nagar
Ramanashree Nagar,Gottigere
Sarjapur,Varthur
Sarjapur Road,Bellandur
Sarjapura,Varthur
Shanti Nagar,Shanthi Nagar
Siddaiah Road,Sudam Nagar
Singasandra,Singasandra
State Bank of mysore colony,Padmanabha Nagar
Subramanyapura,Vasanthapura
Sunkalpet,Dharmarayaswamy Temple
Surya city,Singasandra
Tavarekere Road,Sudduguntepalya
Thyagarajanagar,Sri Rammandira
Tilak Nagar,Jayangar
Tilaknagar,Jayangar
Uttarahalli,Uttarahalli
Uttrahlli,Uttarahalli
V.V.Puram,Visvesvarapuram
Vikramnagar,Yelachenahalli
Vivek Nagar,Neelasandra
Viveknagar,Neelasandra
VV Puram,Visvesvarapuram
Walton Road,Hosathippasandra
Wilson Garden,Lakkasandra
Yadavanahalli,Singasandra
Yediyur,Ganeshmandira
Yelachenahalli,Jaraganahalli
Anubhav Nagar,Moodalapalya
Avani Sringeri mutt,Nagapura
Bapuji Nagar,Gali Anjaneya Swamy Temple
Bapujinagar,Gali Anjaneya Swamy Temple
Basaveshwara Nagar,Shakthiganapathi Nagar
Basaveshwaranagar,Shakthiganapathi Nagar
Basaveshwarnagar,Shakthiganapathi Nagar
Basaveswaranagar Ii stage,Basaveshwara Nagar
Bhashyam Circle,Rajaji Nagar
Cambridge Layout,Jogupalya
Chamarajpet,Chamrajpet
Chamrajpet,Chamrajpet
Chandra Lay out,Deepanjali Nagar
Chandra Layout,Deepanjali Nagar
Chikkabettahalli,Vidyaranyapura
Gandhi Nagar,Gandhi Nagar
Gaviopuram Extension,Hanumantha Nagar
Gaviopuram Guttanahalli,Chamrajpet
Hegganahalli,Rajagopala Nagar
K H b colony,Basaveshwara Nagar
Kamakshipalya,Vrushabhavathi
Kempe Gowda Road,Chikpete
Kengeri,Kengeri
Kengiri,Kengeri
KHB Colony,Basaveshwara Nagar
Laggere,Lakshmidevi Nagar
Mahalakshmipuram,Mahalakshmipuram
Mahalakshmipuram Layout,Mahalakshmipuram
Mudalapalya,Moodalapalya
Mysore,Hosathippasandra
Mysore Road,Kengeri
N. G. E. F Layout,Nagarabhavi
Nagarbhavi,Nagarabhavi
Narasimharaja Colony,Kottigepalya
Narasimjharaja Road,Dharmarayaswamy Temple
Nehru Main Rd,Kammanahalli
Rajaji Nagar,Shiva Nagar
Rajajinagar,Shiva Nagar
Rajajinagar I block,Okalipuram
Rajajinagar Ivth block,Rajaji Nagar
Rajarajeshwarinagar,Rajarajeshwari Nagar
RPC Layout,Hampi Nagar
Srinivas Nagar,Katriguppe
Sunkadakatte,Kottigepalya
Tumkur Road,Bagalagunte
Ullal,Ullalu
Vidyaranyapura,Vidyaranyapura
Vijay Nagar,Vijay Nagar
Vijayanagar,Vijay Nagar
Vijayanagar East,Vijay Nagar